Model,Train Score,Test Score,Mean Absolute Error,Mean Percentage Absolute Error,Median Absolute Error,Median Percentage Absolute Error
Linear Regression v1,0.5427297182882131,0.5267386390966332,1572.5177178720778,21.570889252219853,1176.731963055141,16.810456615073445
LassoCV v1,0.5398857331842528,0.5305424500518754,1557.3892279479362,21.36336537061388,1193.9284897548605,17.056121282212292
RidgeCV v1,0.5427318811840998,0.5268740195897186,1572.0655809190182,21.564687098800253,1175.4892776569777,16.79270396652825
ElasticnetCV v1,0.4001085843519607,0.4084152631936342,1757.058050504883,24.10230688430652,1348.8741170086068,19.2696302429801
AdaBoost Regressor v1,0.3724578121656622,0.32704167583877286,2068.4508675234097,28.373813585631847,1832.921104536489,26.18458720766413
Bagging Regressor v1,-0.02879085824801786,-0.026076669861860857,2275.542597049799,31.214578247227738,1675.1069852085147,23.930099788693067
Gradient Boosting Regressor v1,0.6212278511519141,0.5300904711884895,1539.8521841342583,21.122802338721257,1164.8923390418058,16.641319129168654
Random Forest Regressor v1,0.933189000372818,0.5544855607940499,1471.8029188446105,20.189341845033308,1050.0,15.0
Extra Trees Regressor v1,0.9980006731008622,0.5398737599169872,1465.1383987915408,20.09792181055605,1006.3599999999997,14.376571428571424
Support Vector Machine for Regression v1,-0.026446097136962887,-0.02375800007100315,2274.538089442563,31.200798992404444,1693.8366166466285,24.197665952094695
