minimum_years_experience,days_new_posting_closing,days_original_posting_closing,job_title_wordcount,job_title_charcount,job_description_wordcount,job_description_charcount,skills_num,skill_tableau,skill_datawarehouse,skill_agile,skill_aws,skill_c#,skill_spring,skill_hadoop,skill_spark,skill_oracle,skill_stats,skill_datamining,skill_github,skill_sdlc,skill_c++,skill_cloud,skill_html,skill_javascript,skill_python,skill_azure,skill_linux,skill_unix,skill_ml,skill_algo,skill_java,skill_sql,categories_finance,categories_IT,categories_consulting,categories_education,categories_professional,categories_others,categories_insurance,categories_risk_mgmt,categories_general_mgmt,categories_engineering,categories_civil_service,categories_legal,categories_accounts,categories_PR,categories_research,categories_manufacturing,categories_design,categories_telcom,categories_retail,categories_tourism,categories_advert,categories_admin,categories_maintenance,categories_logistics,categories_wholesale,categories_social_services,categories_security,categories_property,categories_therapy,categories_architecture,categories_purchasing,categories_HR,categories_entertainment,categories_cust_service,categories_env_health,categories_construction,categories_events,categories_general_work,categories_FandB,categories_hospitality,job_title_business analyst,job_title_data analyst,job_title_data engineer,job_title_data quality management,job_title_data scientist,job_title_research scientist,job_title_software developer,job_title_software engineer,job_title_system engineer,position_level_entry level,position_level_executive,position_level_junior executive,position_level_manager,position_level_middle management,position_level_non-executive,position_level_professional,position_level_senior executive,position_level_senior management,salary_above_median
5,30.0,72.0,6,42,255,1963,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3,30.0,30.0,9,59,583,4231,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,30.0,30.0,10,52,304,2141,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,30.0,163.0,3,25,437,3471,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,30.0,30.0,4,26,397,2855,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,30.0,30.0,4,24,188,1389,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,30.0,30.0,7,35,404,2755,16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,30.0,30.0,7,40,398,2822,20,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,30.0,30.0,10,50,376,2609,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,30.0,62.0,10,83,475,3564,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
